date,store_id,sku_id,base_price,promo_flag,promo_depth,final_price,competitor_price,holiday_flag,weather_index,week_of_year,units_sold,revenue,margin,stock_cap,stockout_flag,set
2024-01-01,S01,SKU001,10.49,0,0.0,10.49,10.02,1,0.291,0,2,20.98,12.58,71,0,train
2024-01-01,S01,SKU002,15.49,0,0.0,15.49,15.04,1,0.291,0,12,185.88,105.48,78,0,train
2024-01-01,S01,SKU003,21.99,0,0.0,21.99,21.2,1,0.291,0,9,197.91,112.41,94,0,train
2024-01-01,S02,SKU001,10.49,1,0.1,9.44,10.3,1,0.291,0,22,207.68,115.28,79,0,train
2024-01-01,S02,SKU002,15.49,0,0.0,15.49,16.45,1,0.291,0,22,340.78,193.38,68,0,train
2024-01-01,S02,SKU003,21.99,0,0.0,21.99,22.42,1,0.291,0,16,351.84,199.84,55,0,train
2024-01-01,S03,SKU001,10.49,0,0.0,10.49,10.61,1,0.291,0,15,157.35,94.35,64,0,train
2024-01-01,S03,SKU002,15.49,1,0.13,13.48,15.15,1,0.291,0,51,687.48,345.78,89,0,train
2024-01-01,S03,SKU003,21.99,0,0.0,21.99,22.0,1,0.291,0,23,505.77,287.27,53,0,train
2024-01-01,S04,SKU001,10.49,1,0.17,8.71,10.15,1,0.291,0,34,296.14,153.34,35,0,train
2024-01-01,S04,SKU002,15.49,0,0.0,15.49,15.13,1,0.291,0,32,495.68,281.28,32,1,train
2024-01-01,S04,SKU003,21.99,0,0.0,21.99,22.07,1,0.291,0,30,659.7,374.7,47,0,train
2024-01-01,S05,SKU001,10.49,0,0.0,10.49,10.37,1,0.291,0,16,167.84,100.64,47,0,train
2024-01-01,S05,SKU002,15.49,0,0.0,15.49,15.57,1,0.291,0,29,449.21,254.91,53,0,train
2024-01-01,S05,SKU003,21.99,0,0.0,21.99,22.72,1,0.291,0,24,527.76,299.76,49,0,train
2024-01-02,S01,SKU001,10.49,0,0.0,10.49,10.54,0,0.459,0,11,115.39,69.19,76,0,train
2024-01-02,S01,SKU002,15.49,0,0.0,15.49,15.6,0,0.459,0,15,232.35,131.85,87,0,train
2024-01-02,S01,SKU003,21.99,0,0.0,21.99,21.96,0,0.459,0,8,175.92,99.92,46,0,train
2024-01-02,S02,SKU001,10.49,0,0.0,10.49,11.08,0,0.459,0,5,52.45,31.45,70,0,train
2024-01-02,S02,SKU002,15.49,0,0.0,15.49,14.71,0,0.459,0,17,263.33,149.43,70,0,train
2024-01-02,S02,SKU003,21.99,1,0.25,16.49,21.74,0,0.459,0,27,445.23,188.73,27,1,train
2024-01-02,S03,SKU001,10.49,0,0.0,10.49,10.59,0,0.459,0,15,157.35,94.35,70,0,train
2024-01-02,S03,SKU002,15.49,0,0.0,15.49,15.48,0,0.459,0,29,449.21,254.91,80,0,train
2024-01-02,S03,SKU003,21.99,0,0.0,21.99,23.06,0,0.459,0,15,329.85,187.35,29,0,train
2024-01-02,S04,SKU001,10.49,0,0.0,10.49,11.69,0,0.459,0,14,146.86,88.06,32,0,train
2024-01-02,S04,SKU002,15.49,0,0.0,15.49,15.67,0,0.459,0,27,418.23,237.33,104,0,train
2024-01-02,S04,SKU003,21.99,0,0.0,21.99,21.85,0,0.459,0,19,417.81,237.31,92,0,train
2024-01-02,S05,SKU001,10.49,0,0.0,10.49,10.7,0,0.459,0,20,209.8,125.8,23,0,train
2024-01-02,S05,SKU002,15.49,0,0.0,15.49,14.91,0,0.459,0,33,511.17,290.07,68,0,train
2024-01-02,S05,SKU003,21.99,0,0.0,21.99,22.02,0,0.459,0,20,439.8,249.8,33,0,train
2024-01-03,S01,SKU001,10.49,0,0.0,10.49,10.6,0,0.337,0,11,115.39,69.19,61,0,train
2024-01-03,S01,SKU002,15.49,0,0.0,15.49,14.86,0,0.337,0,18,278.82,158.22,86,0,train
2024-01-03,S01,SKU003,21.99,0,0.0,21.99,21.03,0,0.337,0,11,241.89,137.39,59,0,train
